dataset,n_samples,n_features,schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,fit_time_s,accuracy
analcatdata_boxing2,132,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.14122070791199803,0.6363636363636364
analcatdata_boxing2,132,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,0.28244141582399607,0.6363636363636364
analcatdata_boxing2,132,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.02551995003595948,0.5454545454545454
analcatdata_boxing2,132,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.07655985010787844,0.48484848484848486
analcatdata_boxing2,132,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,0.1275997501797974,0.5757575757575758
analcatdata_boxing2,132,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.0784162095747888,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.0891543783247471,0.7272727272727273
analcatdata_boxing2,132,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.12136888457462192,0.6363636363636364
analcatdata_boxing2,132,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.1750597283244133,0.6363636363636364
analcatdata_boxing2,132,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,0.1918938889633864,0.7272727272727273
analcatdata_boxing2,132,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,0.39591909521259366,0.6363636363636364
haberman,306,3,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.005500164558179676,0.7272727272727273
haberman,306,3,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.011000329116359352,0.7532467532467533
haberman,306,3,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.027500822790898383,0.7402597402597403
haberman,306,3,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.055001645581796765,0.7402597402597403
haberman,306,3,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.11000329116359353,0.7532467532467533
haberman,306,3,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.14809400211088358,0.7272727272727273
haberman,306,3,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.29618800422176716,0.7402597402597403
haberman,306,3,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.740470010554418,0.7272727272727273
haberman,306,3,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,1.480940021108836,0.7142857142857143
haberman,306,3,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,2.961880042217672,0.7142857142857143
haberman,306,3,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,1.1904059081338345,0.4805194805194805
haberman,306,3,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,3.571217724401504,0.6883116883116883
haberman,306,3,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,5.952029540669173,0.7532467532467533
haberman,306,3,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.25259712871629747,0.7532467532467533
haberman,306,3,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.39519096626900135,0.7532467532467533
haberman,306,3,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.8229724789271131,0.7402597402597403
haberman,306,3,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,1.5359416666906327,0.7142857142857143
haberman,306,3,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,6.0565326672745865,0.7532467532467533
haberman,306,3,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,8.76581558077596,0.7142857142857143
analcatdata_aids,50,4,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.0031008937396109102,0.5384615384615384
analcatdata_aids,50,4,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.0062017874792218205,0.5384615384615384
analcatdata_aids,50,4,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.015504468698054552,0.5384615384615384
analcatdata_aids,50,4,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.031008937396109104,0.5384615384615384
analcatdata_aids,50,4,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.06201787479221821,0.5384615384615384
analcatdata_aids,50,4,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.029539589607156812,0.5384615384615384
analcatdata_aids,50,4,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.059079179214313625,0.5384615384615384
analcatdata_aids,50,4,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.14769794803578407,0.5384615384615384
analcatdata_aids,50,4,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.29539589607156813,0.5384615384615384
analcatdata_aids,50,4,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,0.5907917921431363,0.5384615384615384
analcatdata_aids,50,4,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.1260180334560573,0.6923076923076923
analcatdata_aids,50,4,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.37805410036817194,0.7692307692307693
analcatdata_aids,50,4,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,0.6300901672802866,0.6153846153846154
analcatdata_aids,50,4,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.08845657065976412,0.5384615384615384
analcatdata_aids,50,4,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.11489526652731001,0.5384615384615384
analcatdata_aids,50,4,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.19421135412994772,0.5384615384615384
analcatdata_aids,50,4,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.32640483346767724,0.5384615384615384
analcatdata_aids,50,4,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,0.6890071483328939,0.5384615384615384
analcatdata_aids,50,4,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,1.191342369816266,0.5384615384615384
iris,150,4,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.004177964595146477,0.9473684210526315
iris,150,4,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.008355929190292955,0.9473684210526315
iris,150,4,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.020889822975732386,0.9473684210526315
iris,150,4,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.04177964595146477,0.9473684210526315
iris,150,4,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.08355929190292954,0.9473684210526315
iris,150,4,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.10906774373725056,0.9473684210526315
iris,150,4,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.21813548747450112,0.9473684210526315
iris,150,4,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.5453387186862528,0.9473684210526315
iris,150,4,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,1.0906774373725057,0.9473684210526315
iris,150,4,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,2.1813548747450113,0.9473684210526315
iris,150,4,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.9042846334166825,0.868421052631579
iris,150,4,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,2.7128539002500474,0.9210526315789473
iris,150,4,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,4.521423167083412,0.9210526315789473
iris,150,4,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.1884490710450336,0.9473684210526315
